review_id,customer_id,product,region,rating,review_text
RV0002,CC0386,DataVault,VIC,5,"Really happy with the service, it just works and has scaled with our business effortlessly."
RV0021,CC0207,DataVault,VIC,5,"Really happy with the service, it just works and has scaled with our business effortlessly."
RV0025,CC0297,Analytics Pro,NSW,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0034,CC0142,Analytics Pro,SA,5,"Consistently dependable, we trust them with our most important workloads."
RV0035,CC0154,Analytics Pro,VIC,5,"Consistently dependable, we trust them with our most important workloads."
RV0039,CC0099,DataVault,SA,5,Great value for money and the onboarding was smooth and well organised.
RV0040,CC0208,DataVault,QLD,5,"Really happy with the service, it just works and has scaled with our business effortlessly."
RV0043,CC0028,Analytics Pro,SA,5,"Really happy with the service, it just works and has scaled with our business effortlessly."
RV0063,CC0100,DataVault,VIC,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0065,CC0341,Analytics Pro,NSW,5,"Consistently dependable, we trust them with our most important workloads."
RV0067,CC0205,Analytics Pro,VIC,5,"Excellent product and support, we have recommended CloudCore to several partners."
RV0070,CC0208,DataVault,QLD,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0073,CC0051,DataVault,SA,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0079,CC0033,CloudSync,NSW,5,Great value for money and the onboarding was smooth and well organised.
RV0083,CC0070,Analytics Pro,WA,5,Great value for money and the onboarding was smooth and well organised.
RV0095,CC0342,DataVault,VIC,5,"Excellent product and support, we have recommended CloudCore to several partners."
RV0098,CC0158,Analytics Pro,NSW,5,Great value for money and the onboarding was smooth and well organised.
RV0106,CC0231,Analytics Pro,NSW,5,"Consistently dependable, we trust them with our most important workloads."
RV0111,CC0254,Analytics Pro,QLD,5,"Really happy with the service, it just works and has scaled with our business effortlessly."
RV0130,CC0318,DataVault,WA,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0135,CC0178,DataVault,QLD,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0136,CC0259,DataVault,NSW,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0142,CC0132,DataVault,SA,5,"Consistently dependable, we trust them with our most important workloads."
RV0146,CC0335,DataVault,QLD,5,Great value for money and the onboarding was smooth and well organised.
RV0149,CC0158,Analytics Pro,NSW,5,CloudCore has been rock solid for us; the platform is reliable and the team is responsive.
RV0160,CC0310,DataVault,NSW,5,"Really happy with the service, it just works and has scaled with our business effortlessly."
