transaction_id,customer_id,billing_month,storage_gb,api_calls,seats,billing_amount
T00001,C0001,2026-05,1153,141167,10,1920
T00002,C0002,2026-05,588,114024,7,1360
T00003,C0003,2026-05,1623,561925,36,5010
T00004,C0004,2026-05,9159,2410795,118,26220
T00005,C0005,2026-05,633,140923,18,2160
T00006,C0006,2026-05,1676,1926253,33,6520
T00007,C0007,2026-05,8400,2158064,92,21790
T00008,C0008,2026-05,2752,738826,53,6570
T00009,C0009,2026-05,2846,454635,28,4640
T00010,C0010,2026-05,3030,506153,44,6470
T00011,C0011,2026-05,3019,276252,32,5190
T00012,C0012,2026-05,855,189947,6,1560
T00013,C0013,2026-05,1988,744708,52,8000
T00014,C0014,2026-05,1960,1967837,26,6410
T00015,C0015,2026-05,2768,521294,51,6900
T00016,C0016,2026-05,13513,2210704,91,25360
T00017,C0017,2026-05,2229,321991,30,4540
T00018,C0018,2026-05,612,145463,9,1630
T00019,C0019,2026-05,11245,1214017,119,27510
T00020,C0020,2026-05,233,88401,3,580
T00021,C0021,2026-05,11734,2291668,112,29690
T00022,C0022,2026-05,3182,686898,42,7060
T00023,C0023,2026-05,868,269589,13,1970
T00024,C0024,2026-05,645,108303,13,1770
T00025,C0025,2026-05,987,92341,13,2040
T00026,C0026,2026-05,1749,1745178,32,6430
T00027,C0027,2026-05,982,75410,6,1400
T00028,C0028,2026-05,1621,1653512,28,6770
T00029,C0029,2026-05,421,174063,8,1430
T00030,C0030,2026-05,2809,516932,27,5620
T00031,C0031,2026-05,10380,2281443,68,19930
T00032,C0032,2026-05,150,127619,14,1540
T00033,C0033,2026-05,9751,2740779,90,24190
T00034,C0034,2026-05,1058,149286,16,2330
T00035,C0035,2026-05,7183,1596907,62,18110
T00036,C0036,2026-05,10437,2902758,78,21150
T00037,C0037,2026-05,3677,714313,28,6250
T00038,C0038,2026-05,2929,340761,40,5950
T00039,C0039,2026-05,222,55436,12,1340
T00040,C0040,2026-05,1636,1272754,24,5570
T00041,C0041,2026-05,10627,2320727,60,18740
T00042,C0042,2026-05,526,214377,10,1660
T00043,C0043,2026-05,1219,2456697,35,7970
