ticket_id,customer_id,product,region,date,channel,satisfaction_score,ticket_text
TK00001,C0200,Analytics Pro,Singapore,2025-11-14,Chat,3,How do we share a dashboard with an external auditor?
TK00002,C0120,CloudSync,Sydney,2025-09-22,Phone,3,"Clarification on rate limits for the integration API, please."
TK00003,C0002,Analytics Pro,Sydney,2026-05-21,Email,3,How do we share a dashboard with an external auditor?
TK00004,C0062,Analytics Pro,Singapore,2026-05-03,Chat,4,"The new report scheduler is a big improvement, thanks."
TK00005,C0081,CloudSync,San Francisco,2025-08-28,Portal,3,"Clarification on rate limits for the integration API, please."
TK00006,C0180,Analytics Pro,Sydney,2025-11-11,Chat,5,"Once configured, the dashboards are genuinely powerful."
TK00007,C0200,Analytics Pro,Singapore,2026-05-10,Chat,4,"Once configured, the dashboards are genuinely powerful."
TK00008,C0006,CloudSync,Singapore,2026-02-13,Email,2,"Integration with our ERP keeps dropping, we are evaluating alternatives."
TK00009,C0099,CloudSync,Sydney,2025-08-27,Chat,3,Need documentation on retry logic for failed records.
TK00010,C0232,Account,Sydney,2026-04-07,Chat,3,How do we add a new seat to our plan?
TK00011,C0212,CloudSync,San Francisco,2026-02-21,Phone,3,"Clarification on rate limits for the integration API, please."
TK00012,C0159,Analytics Pro,Sydney,2025-06-03,Phone,3,Requesting access to the advanced modelling module.
TK00013,C0276,Account,Sydney,2025-07-24,Chat,4,"Smooth onboarding, everything is set up correctly."
TK00014,C0205,Analytics Pro,San Francisco,2025-06-16,Email,3,Looking for guidance on custom calculated fields.
TK00015,C0105,CloudSync,Sydney,2026-05-08,Phone,3,"Clarification on rate limits for the integration API, please."
TK00016,C0056,Analytics Pro,Singapore,2026-05-24,Phone,4,"Once configured, the dashboards are genuinely powerful."
TK00017,C0246,DataVault,Singapore,2026-04-18,Email,5,DataVault has been rock solid — sovereign storage is why we chose you.
TK00018,C0279,DataVault,Singapore,2025-10-27,Phone,4,"The new restore workflow is much faster, really appreciate it."
TK00019,C0237,DataVault,San Francisco,2026-05-26,Chat,4,"The new restore workflow is much faster, really appreciate it."
TK00020,C0278,Account,Sydney,2026-01-09,Chat,5,"Smooth onboarding, everything is set up correctly."
TK00021,C0245,Account,San Francisco,2026-03-24,Chat,2,Onboarding has been slow and we still don't have full access.
TK00022,C0020,CloudSync,Sydney,2026-05-22,Chat,2,Field mapping broke after your update with no warning at all.
TK00023,C0240,DataVault,Sydney,2025-12-27,Phone,4,"Backup completed ahead of schedule, thanks to the support team."
TK00024,C0229,CloudSync,Sydney,2026-04-03,Email,4,Support helped us tune the batch size and syncs are stable now.
TK00025,C0103,DataVault,San Francisco,2026-04-08,Chat,3,Please confirm the timing of this weekend's scheduled maintenance.
TK00026,C0123,Analytics Pro,Sydney,2025-11-01,Email,4,Analytics Pro replaced three manual spreadsheets for us.
TK00027,C0114,Analytics Pro,Sydney,2026-03-08,Portal,4,"The new report scheduler is a big improvement, thanks."
TK00028,C0119,CloudSync,Sydney,2026-01-27,Portal,3,Need documentation on retry logic for failed records.
TK00029,C0098,CloudSync,Singapore,2026-04-16,Phone,3,How do we add a new source to the CloudSync pipeline?
TK00030,C0223,Account,San Francisco,2026-04-30,Email,2,"Billed twice this month, please refund the duplicate charge."
TK00031,C0135,CloudSync,San Francisco,2026-02-10,Chat,3,How do we add a new source to the CloudSync pipeline?
TK00032,C0195,CloudSync,Sydney,2025-08-07,Phone,3,How do we add a new source to the CloudSync pipeline?
TK00033,C0053,Analytics Pro,Singapore,2025-11-10,Phone,3,How do we share a dashboard with an external auditor?
TK00034,C0150,DataVault,Singapore,2025-07-27,Portal,3,Requesting an increase to our storage quota for the new project.
TK00035,C0229,CloudSync,Sydney,2025-11-22,Chat,3,Need documentation on retry logic for failed records.
TK00036,C0227,DataVault,Singapore,2025-08-04,Portal,3,Please confirm the timing of this weekend's scheduled maintenance.
TK00037,C0187,CloudSync,San Francisco,2026-05-05,Phone,1,Honestly considering AWS for this — reliability has to improve. Switching cost is the only thing holding us back.
TK00038,C0280,Analytics Pro,Singapore,2025-09-18,Portal,4,"Once configured, the dashboards are genuinely powerful."
TK00039,C0265,DataVault,Singapore,2025-11-29,Chat,5,"Backup completed ahead of schedule, thanks to the support team."
TK00040,C0162,CloudSync,Sydney,2025-07-07,Email,3,"Clarification on rate limits for the integration API, please."
TK00041,C0261,CloudSync,San Francisco,2026-05-19,Phone,1,"Integration with our ERP keeps dropping, we are evaluating alternatives. Switching cost is the only thing holding us back."
TK00042,C0178,CloudSync,Sydney,2026-04-04,Email,2,"CloudSync failed overnight and duplicated half our records, this is a mess."
TK00043,C0217,Analytics Pro,Sydney,2026-03-23,Phone,4,Analytics Pro replaced three manual spreadsheets for us.
TK00044,C0247,CloudSync,Sydney,2026-05-24,Email,3,How do we add a new source to the CloudSync pipeline?
TK00045,C0216,CloudSync,San Francisco,2026-04-12,Phone,3,Requesting a sandbox to test a new field mapping.
TK00046,C0241,Analytics Pro,Singapore,2025-12-18,Chat,4,Analytics Pro replaced three manual spreadsheets for us.
TK00047,C0043,DataVault,Singapore,2025-10-05,Chat,4,"Backup completed ahead of schedule, thanks to the support team."
TK00048,C0060,CloudSync,Singapore,2025-12-02,Phone,3,Need documentation on retry logic for failed records.
TK00049,C0102,Analytics Pro,San Francisco,2025-09-27,Portal,3,Need to schedule a training session for our new analysts.
TK00050,C0128,Account,San Francisco,2025-08-01,Chat,3,Requesting an updated invoice for finance.
TK00051,C0050,Analytics Pro,Sydney,2026-01-09,Phone,3,Requesting access to the advanced modelling module.
TK00052,C0090,Analytics Pro,Singapore,2025-07-04,Portal,4,Analytics Pro replaced three manual spreadsheets for us.
TK00053,C0173,Account,Sydney,2026-01-16,Phone,3,Need to update our billing contact details.
TK00054,C0185,Analytics Pro,Singapore,2025-07-24,Phone,4,Support walked us through the modelling module — really helpful.
TK00055,C0118,Analytics Pro,San Francisco,2025-07-29,Chat,3,Requesting access to the advanced modelling module.
TK00056,C0008,Account,Sydney,2026-01-13,Phone,3,How do we add a new seat to our plan?
TK00057,C0177,Account,Singapore,2026-01-05,Email,3,Need to update our billing contact details.
TK00058,C0028,DataVault,Sydney,2025-09-22,Portal,3,Please confirm the timing of this weekend's scheduled maintenance.
TK00059,C0215,Analytics Pro,Sydney,2025-07-26,Chat,4,"Once configured, the dashboards are genuinely powerful."
TK00060,C0104,Account,Singapore,2026-05-07,Chat,3,How do we add a new seat to our plan?
