customer_id,company_name,industry,region,tenure_months,products,monthly_recurring_revenue,support_tier,churn_flag
C0001,Nexus Logistics,Logistics,Sydney,6,CloudSync,1920.0,Basic,1
C0002,Laurel Institute,Education,Sydney,7,Analytics Pro,1360.0,Standard,0
C0003,Foothill Financial,Finance,Singapore,25,CloudSync,5010.0,Standard,0
C0004,Meridian Works,Manufacturing,Singapore,35,Analytics Pro + DataVault,26220.0,Enterprise,0
C0005,Quartz Utilities,Energy,Sydney,19,CloudSync,2160.0,Basic,0
C0006,Horizon Retail,Retail,Singapore,31,Analytics Pro + CloudSync,6520.0,Standard,0
C0007,Helix Broadcast,Media,Sydney,58,Analytics Pro + CloudSync + DataVault,21790.0,Enterprise,0
C0008,Juniper Broadcast,Media,Sydney,30,Analytics Pro + CloudSync,6570.0,Basic,0
C0009,Sterling Logistics,Logistics,Sydney,17,CloudSync,4640.0,Basic,0
C0010,Quartz BioSciences,Healthcare,Singapore,31,DataVault,6470.0,Standard,0
C0011,Jade Works,Manufacturing,Sydney,35,CloudSync + DataVault,5190.0,Standard,0
C0012,Onyx Digital,Technology,San Francisco,18,CloudSync,1560.0,Basic,1
C0013,Cardinal Capital,Finance,Sydney,37,CloudSync + DataVault,8000.0,Premium,0
C0014,Vertex Education,Education,Sydney,24,Analytics Pro + CloudSync + DataVault,6410.0,Standard,0
C0015,Lumen Power,Energy,Sydney,30,Analytics Pro + CloudSync + DataVault,6900.0,Standard,0
C0016,Lumen Industries,Manufacturing,Singapore,50,Analytics Pro + CloudSync + DataVault,25360.0,Premium,0
C0017,Cedar Goods,Retail,Singapore,33,Analytics Pro + CloudSync + DataVault,4540.0,Standard,0
C0018,Jade Software,Technology,Singapore,14,Analytics Pro + DataVault,1630.0,Standard,0
C0019,Orion Cargo,Logistics,Singapore,30,Analytics Pro + CloudSync + DataVault,27510.0,Enterprise,0
C0020,Radiant Transport,Logistics,Sydney,14,CloudSync + DataVault,580.0,Basic,0
C0021,Glacier Studios,Media,Sydney,48,Analytics Pro + CloudSync + DataVault,29690.0,Enterprise,0
C0022,Silverline Academy,Education,Sydney,16,Analytics Pro + CloudSync + DataVault,7060.0,Standard,0
C0023,Orion Therapeutics,Healthcare,Sydney,6,Analytics Pro,1970.0,Basic,1
C0024,Foothill BioSciences,Healthcare,Singapore,2,CloudSync,1770.0,Basic,1
C0025,Granite Retail,Retail,San Francisco,19,DataVault,2040.0,Standard,1
C0026,Orion Works,Manufacturing,Sydney,19,Analytics Pro,6430.0,Standard,1
C0027,Orion Collegiate,Education,Singapore,3,CloudSync + DataVault,1400.0,Basic,0
C0028,Driftwood Collegiate,Education,Sydney,19,Analytics Pro + CloudSync + DataVault,6770.0,Premium,0
C0029,Ironwood Systems,Technology,Sydney,9,DataVault,1430.0,Standard,1
C0030,Cardinal Therapeutics,Healthcare,Sydney,8,CloudSync + DataVault,5620.0,Standard,1
C0031,Brightpath Care,Healthcare,Sydney,42,Analytics Pro + CloudSync + DataVault,19930.0,Premium,0
C0032,Apex Markets,Retail,Sydney,12,DataVault,1540.0,Standard,0
C0033,Brightpath Utilities,Energy,Sydney,45,Analytics Pro + CloudSync + DataVault,24190.0,Enterprise,0
C0034,Silverline Therapeutics,Healthcare,Sydney,13,Analytics Pro,2330.0,Standard,0
C0035,Quartz Studios,Media,Sydney,38,Analytics Pro + CloudSync + DataVault,18110.0,Enterprise,0
C0036,Glacier Learning,Education,Singapore,45,Analytics Pro + DataVault,21150.0,Premium,0
C0037,Beacon Markets,Retail,Singapore,26,Analytics Pro + CloudSync + DataVault,6250.0,Standard,0
C0038,Northwind Works,Manufacturing,Singapore,34,Analytics Pro + CloudSync + DataVault,5950.0,Standard,0
C0039,Keystone Markets,Retail,Sydney,18,CloudSync,1340.0,Standard,1
C0040,Glacier Markets,Retail,San Francisco,23,Analytics Pro + CloudSync,5570.0,Standard,0
C0041,Falcon Content,Media,Singapore,33,CloudSync + DataVault,18740.0,Premium,0
C0042,Verdant Therapeutics,Healthcare,Sydney,15,CloudSync,1660.0,Basic,1
C0043,Latitude Freight,Logistics,Singapore,33,Analytics Pro + CloudSync + DataVault,7970.0,Standard,0
