customer_id,company_name,industry,region,tenure_months,products,monthly_recurring_revenue,support_tier,support_tickets_6m,satisfaction_score,churn_flag
CC0001,Gippsland Digital,Hospitality,QLD,22,DataVault,11956.40,Premium,2,3.30,0
CC0002,Goldfields Trading,Mining & Resources,QLD,50,CloudSync,5175.13,Standard,1,3.30,0
CC0003,Fremantle Logistics,Real Estate,NSW,56,DataVault + Analytics Pro + CloudSync,44955.66,Enterprise,3,3.00,1
CC0004,Murray River Group,Manufacturing,NSW,28,Analytics Pro,5843.19,Standard,4,2.00,0
CC0005,Swan River Group,Agriculture,VIC,25,CloudSync,5371.91,Standard,4,2.40,0
CC0006,Adelaide Hills Industries,Government,VIC,32,DataVault + Analytics Pro + CloudSync,13848.37,Premium,5,2.80,0
CC0007,Harbour Logistics,Agriculture,VIC,18,DataVault,2326.32,Basic,5,2.50,1
CC0008,Wannon Consulting,Construction,QLD,39,DataVault + Analytics Pro + CloudSync,15102.43,Premium,6,2.90,0
CC0009,Wagga Consulting,Finance & Insurance,QLD,40,Analytics Pro,8985.80,Premium,1,4.00,0
CC0010,Flinders Trading,Technology,NSW,6,CloudSync,5618.35,Standard,2,2.30,0
CC0011,Fremantle Capital,Retail,QLD,20,DataVault,5552.18,Standard,1,3.00,0
CC0012,Red Centre Holdings,Professional Services,QLD,19,CloudSync,30355.78,Enterprise,1,3.20,0
CC0013,Margaret Industries,Construction,VIC,27,CloudSync,25402.38,Enterprise,1,3.10,0
CC0014,Esperance Solutions,Agriculture,SA,43,DataVault,6212.36,Standard,4,4.10,0
CC0015,Coral Sea Holdings,Hospitality,VIC,31,DataVault,11944.20,Premium,1,3.50,0
CC0016,Darwin Harbour Industries,Finance & Insurance,NSW,34,Analytics Pro,2193.82,Basic,6,2.30,0
CC0017,Adelaide Hills Holdings,Retail,VIC,11,DataVault + Analytics Pro,6957.46,Standard,2,2.10,0
CC0018,Goldfields Capital,Logistics & Transport,NSW,14,DataVault + Analytics Pro,2279.81,Basic,5,1.90,1
CC0019,Coral Coast Technologies,Professional Services,VIC,42,Analytics Pro,4865.37,Standard,2,3.00,0
CC0020,Swan River Logistics,Professional Services,NSW,23,DataVault + Analytics Pro + CloudSync,8398.06,Standard,7,1.70,1
CC0021,Limestone Group,Retail,VIC,41,DataVault,21444.65,Enterprise,3,4.30,0
CC0022,Wannon Logistics,Logistics & Transport,WA,27,DataVault + CloudSync,2034.96,Basic,11,1.00,1
CC0023,Red Centre Enterprises,Construction,QLD,7,DataVault + Analytics Pro + CloudSync,2825.88,Basic,6,1.60,0
CC0024,Murray River Logistics,Government,VIC,11,DataVault + Analytics Pro,6684.24,Standard,7,1.00,0
CC0025,Torres Services,Technology,QLD,14,DataVault + CloudSync,38589.52,Enterprise,1,2.40,0
CC0026,Hunter Valley Digital,Government,QLD,54,DataVault + Analytics Pro + CloudSync,15332.89,Premium,4,3.80,0
CC0027,Coorong Industries,Media & Communications,NSW,48,DataVault + Analytics Pro + CloudSync,33507.53,Enterprise,2,3.50,0
CC0028,Kimberley Technologies,Manufacturing,SA,34,Analytics Pro,1804.90,Basic,6,2.50,1
CC0029,Barrier Reef Systems,Mining & Resources,VIC,24,Analytics Pro + CloudSync,7428.16,Standard,3,2.50,0
CC0030,Barrier Reef Industries,Hospitality,WA,37,CloudSync,8647.07,Premium,2,2.30,0
CC0031,Kangaroo Digital,Agriculture,QLD,20,Analytics Pro,2103.50,Basic,8,1.80,0
CC0032,Wannon Enterprises,Finance & Insurance,NSW,13,DataVault + Analytics Pro + CloudSync,3139.40,Basic,7,1.90,1
CC0033,Red Centre Trading,Finance & Insurance,NSW,63,CloudSync,2349.20,Basic,5,3.20,0
CC0034,Bondi Services,Professional Services,QLD,36,DataVault,11304.24,Premium,2,3.70,0
CC0035,Glasshouse Services,Technology,WA,8,Analytics Pro,4863.50,Standard,3,2.70,0
CC0036,Wagga Trading,Professional Services,SA,52,DataVault,10604.92,Premium,3,3.30,0
CC0037,Coorong Trading,Hospitality,SA,5,Analytics Pro,5787.78,Standard,1,2.70,1
CC0038,Coorong Capital,Hospitality,WA,53,DataVault,5779.75,Standard,1,2.50,0
