review_id,customer_id,product,region,rating,review_text
R00001,C0144,DataVault,San Francisco,3,"Does the job, though onboarding took longer than promised."
R00002,C0200,Analytics Pro,Singapore,5,Great modelling features and the team keeps shipping improvements.
R00003,C0202,DataVault,Sydney,5,Rock-solid storage with genuine data sovereignty — exactly what our regulators want.
R00004,C0146,DataVault,San Francisco,3,"Does the job, though onboarding took longer than promised. We're actively evaluating alternatives."
R00005,C0146,DataVault,San Francisco,3,"Solid storage, but the interface feels dated. Switching cost is the only thing holding us back."
R00006,C0060,CloudSync,Singapore,3,"A promising integration tool, but it needs more polish."
R00007,C0239,DataVault,Sydney,4,"Reliable, fast, and the support team genuinely knows the product."
R00008,C0244,CloudSync,Sydney,3,"A promising integration tool, but it needs more polish."
R00009,C0208,DataVault,Singapore,5,Rock-solid storage with genuine data sovereignty — exactly what our regulators want.
R00010,C0280,Analytics Pro,Singapore,3,A capable product buried under a confusing interface.
R00011,C0042,CloudSync,Sydney,3,"A promising integration tool, but it needs more polish."
R00012,C0250,Analytics Pro,Sydney,4,Genuinely powerful dashboards once you get past the learning curve.
R00013,C0125,DataVault,San Francisco,3,"Solid storage, but the interface feels dated."
R00014,C0123,Analytics Pro,Sydney,4,Genuinely powerful dashboards once you get past the learning curve.
R00015,C0192,DataVault,San Francisco,4,Rock-solid storage with genuine data sovereignty — exactly what our regulators want.
R00016,C0110,DataVault,Sydney,5,We moved our archive to DataVault and never looked back.
R00017,C0221,CloudSync,San Francisco,2,Reliability isn't there yet. We're benchmarking against AWS Step Functions.
R00018,C0104,CloudSync,Singapore,3,"Works for simple flows, struggles with complex mappings."
R00019,C0032,DataVault,Sydney,5,"Backups just work, and the Sydney residency gives our board peace of mind."
R00020,C0138,DataVault,Singapore,3,"Does the job, though onboarding took longer than promised."
R00021,C0199,Analytics Pro,Singapore,4,Replaced a pile of manual reports — our analysts love it now.
R00022,C0070,Analytics Pro,Sydney,4,Great modelling features and the team keeps shipping improvements.
