Month,Projected_Revenue_AUD,Projected_Expenses_AUD,Net_Income_AUD,Breach_Impact_Revenue_AUD,Remediation_Spend_AUD,Insurance_Premium_AUD
2026-01,3030312.30,3090000.00,-59687.70,719687.70,320000.00,70000.00
2026-02,3099387.07,3063500.00,35887.07,650612.93,280000.00,70000.00
2026-03,3120347.25,3007000.00,113347.25,629652.75,210000.00,70000.00
2026-04,3266757.85,2960500.00,306257.85,483242.15,150000.00,70000.00
2026-05,3258335.31,2934000.00,324335.31,491664.69,110000.00,70000.00
2026-06,3483907.09,2922500.00,561407.09,266092.91,85000.00,70000.00
2026-07,3349512.17,2911000.00,438512.17,400487.83,60000.00,70000.00
2026-08,3648985.73,2909500.00,739485.73,101014.27,45000.00,70000.00
2026-09,3607556.23,2908000.00,699556.23,142443.77,30000.00,70000.00
2026-10,3616111.91,2911500.00,704611.91,133888.09,20000.00,70000.00
2026-11,3603278.67,2920000.00,683278.67,146721.33,15000.00,70000.00
2026-12,3755146.17,2928500.00,826646.17,0.00,10000.00,70000.00
