ticket_id,customer_id,date,product,region,channel,priority,resolution_hours,satisfaction_rating,ticket_text
TK0009,CC0319,2025-01-01,Analytics Pro,NSW,Phone,Low,42.30,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0111,CC0185,2025-01-01,DataVault,NSW,Portal,Medium,16.30,3,"[DataVault] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0187,CC0085,2025-01-01,Analytics Pro,NSW,Chat,Medium,14.60,4,"[Analytics Pro] Very professional service, communication was clear and timely."
TK0268,CC0211,2025-01-06,DataVault,NSW,Chat,Medium,13.00,4,"[DataVault] Painless process, would recommend CloudCore support to anyone."
TK0043,CC0136,2025-01-08,DataVault,NSW,Phone,Low,38.80,4,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0292,CC0185,2025-01-11,DataVault,NSW,Portal,Medium,15.40,2,"[DataVault] Not happy with the handling, communication was poor throughout."
TK0218,CC0172,2025-01-12,CloudSync,QLD,Email,Low,43.70,3,"[CloudSync] Problem was addressed eventually, response time could be better."
TK0349,CC0334,2025-01-20,Analytics Pro,WA,Portal,Low,19.30,4,"[Analytics Pro] Issue resolved quickly, team was responsive and helpful throughout."
TK0222,CC0387,2025-01-27,CloudSync,QLD,Portal,Medium,11.40,4,"[CloudSync] Painless process, would recommend CloudCore support to anyone."
TK0046,CC0130,2025-01-31,DataVault,VIC,Chat,Medium,2.20,2,[DataVault] Support did not seem to understand the urgency of our situation.
TK0294,CC0031,2025-02-01,Analytics Pro,QLD,Portal,Medium,13.40,5,"[Analytics Pro] Great support experience, engineer understood the problem immediately."
TK0360,CC0072,2025-02-02,Analytics Pro,WA,Portal,Medium,13.10,4,"[Analytics Pro] Very professional service, communication was clear and timely."
TK0052,CC0062,2025-02-04,CloudSync,NSW,Chat,Low,39.50,3,"[CloudSync] Support was okay, had to explain the situation more than once."
TK0200,CC0185,2025-02-05,DataVault,NSW,Portal,Low,44.30,4,"[DataVault] Great support experience, engineer understood the problem immediately."
TK0261,CC0058,2025-02-06,DataVault,NSW,Portal,Medium,5.20,4,"[DataVault] Very professional service, communication was clear and timely."
TK0015,CC0291,2025-02-07,DataVault,NSW,Portal,Low,33.50,5,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0087,CC0255,2025-02-10,CloudSync,NSW,Portal,Medium,14.00,4,[CloudSync] Fixed within the hour and followed up to confirm everything was working.
