Category,Q1_2026_AUD,Q2_2026_AUD,Q3_2026_AUD,Q4_2026_AUD,Annual_2026_AUD
Salaries & Wages,2350000,2410000,2460000,2540000,9760000
Software Licences,185000,190000,196000,202000,773000
Hardware & Infrastructure,240000,255000,268000,280000,1043000
Marketing & Sales,165000,180000,205000,240000,790000
Data Centre & Utilities,78000,79000,81000,82000,320000
Office & Rent,62000,62000,64000,64000,252000
Insurance,210000,210000,210000,210000,840000
Incident Response & Remediation,485000,320000,140000,60000,1005000
Legal & Compliance,175000,150000,120000,95000,540000
Training & Development,55000,62000,70000,72000,259000
Credit-Monitoring & Notifications,90000,60000,25000,10000,185000
Miscellaneous,28000,30000,31000,32000,121000
